titulo,genero,duracion,clasificacion,idioma,director,actor,pais,anio
Destino Final: Lazos de Sangre,Terror,110,+15,Español,Zach Lipovsky,Brec Bassinger,Estados Unidos,2026
Misión Imposible: Sentencia Final,Acción,165,+12,Inglés,Christopher McQuarrie,Tom Cruise,Estados Unidos,2026
Minecraft: La Película,Aventura,100,+7,Español,Jared Hess,Jason Momoa,Estados Unidos,2026
Wicked: Parte 2,Musical,155,+7,Inglés,Jon M. Chu,Cynthia Erivo,Estados Unidos,2026
El Conjuro: El Último Rito,Terror,125,+15,Español,Michael Chaves,Vera Farmiga,Estados Unidos,2026
Avatar: Fuego y Ceniza,Ciencia Ficción,190,+12,Inglés,James Cameron,Sam Worthington,Estados Unidos,2026
Encanto 2,Animación,105,Todo Público,Español,Jared Bush,Stephanie Beatriz,Colombia,2026
Rápidos y Furiosos 11,Acción,140,+12,Inglés,Louis Leterrier,Vin Diesel,Estados Unidos,2026
La Monja 3,Terror,115,+15,Español,Michael Chaves,Taissa Farmiga,Estados Unidos,2026
Shrek 5,Animación,95,Todo Público,Español,Walt Dohrn,Mike Myers,Estados Unidos,2026
Deadpool 3,Acción,130,+15,Inglés,Shawn Levy,Ryan Reynolds,Estados Unidos,2026
Toy Story 5,Animación,98,Todo Público,Español,Josh Cooley,Tom Hanks,Estados Unidos,2026
Dune: Parte 3,Ciencia Ficción,175,+12,Inglés,Denis Villeneuve,Timothée Chalamet,Estados Unidos,2026
El Exorcista: Creyentes,Terror,118,+15,Español,David Gordon Green,Ellen Burstyn,Estados Unidos,2026
Barbie 2,Comedia,112,+7,Inglés,Greta Gerwig,Margot Robbie,Estados Unidos,2026
Spider-Man: Más Allá del Multiverso,Animación,140,+7,Español,Joaquim Dos Santos,Shameik Moore,Estados Unidos,2026
John Wick 5,Acción,135,+15,Inglés,Chad Stahelski,Keanu Reeves,Estados Unidos,2026
Frozen 3,Animación,108,Todo Público,Español,Jennifer Lee,Kristen Bell,Estados Unidos,2026
Insidious 6,Terror,105,+15,Español,Patrick Wilson,Patrick Wilson,Estados Unidos,2026
Gladiador 3,Acción,160,+15,Inglés,Ridley Scott,Paul Mescal,Estados Unidos,2026
